iter	Passed	Remaining
479	610	661
480	611	660
481	612	658
482	613	656
483	614	655
484	615	653
485	616	651
486	616	649
487	617	648
488	618	646
489	619	644
490	620	642
491	620	641
492	621	639
493	622	637
494	623	635
495	624	634
496	624	632
497	625	630
498	626	628
499	627	627
500	628	626
501	629	624
502	630	622
503	630	620
504	631	619
505	632	617
506	633	615
507	634	614
508	635	612
509	635	610
510	636	609
511	637	607
512	638	606
513	639	604
514	640	602
515	640	601
516	641	599
517	642	598
518	643	596
519	644	594
520	645	593
521	646	591
522	646	589
523	647	588
524	648	586
525	649	585
526	650	583
527	651	582
528	651	580
529	652	578
530	653	577
531	654	575
532	655	573
533	655	572
534	656	570
535	657	569
536	658	567
537	659	566
538	660	564
539	660	563
540	661	561
541	662	559
542	663	558
543	664	556
544	664	555
545	665	553
546	666	552
547	667	550
548	668	548
549	668	547
550	669	545
551	670	544
552	671	542
553	672	541
554	673	540
555	674	538
556	675	537
557	676	535
558	676	534
559	677	532
560	678	531
561	679	529
562	680	528
563	681	526
564	682	525
565	683	523
566	684	522
567	685	521
568	685	519
569	687	518
570	687	516
571	688	515
572	689	514
573	690	512
574	691	511
575	692	509
576	693	508
577	694	507
578	695	505
579	696	504
580	697	502
581	698	501
582	698	499
583	699	498
584	700	497
585	702	496
586	703	494
587	704	493
588	705	492
589	706	491
590	707	489
591	708	488
592	709	486
593	710	485
594	711	484
595	712	482
596	713	481
597	714	480
598	715	478
599	716	477
600	717	476
601	719	475
602	719	473
603	720	472
604	722	471
605	722	470
606	723	468
607	724	467
608	725	465
609	726	464
610	727	463
611	728	461
612	729	460
613	730	459
614	731	457
615	733	457
616	734	455
617	735	454
618	736	453
619	737	451
620	738	450
621	739	449
622	739	447
623	740	446
624	742	445
625	742	443
626	743	442
627	744	441
628	745	439
629	746	438
630	747	437
631	748	435
632	749	434
633	750	433
634	751	431
635	752	430
636	753	429
637	753	427
638	754	426
639	755	425
640	756	423
641	757	422
642	758	421
643	759	419
644	760	418
645	761	417
646	762	415
647	763	414
648	764	413
649	765	411
650	766	410
651	766	409
652	767	407
653	768	406
654	769	405
655	770	404
656	771	402
657	772	401
658	773	400
659	773	398
660	774	397
661	775	395
662	776	394
663	777	393
664	778	392
665	779	390
666	780	389
667	781	388
668	782	386
669	783	385
670	784	384
671	785	383
672	786	381
673	787	380
674	788	379
675	789	378
676	790	377
677	791	375
678	792	374
679	793	373
680	794	372
681	795	370
682	796	369
683	797	368
684	798	367
685	799	365
686	800	364
687	801	363
688	802	362
689	802	360
690	803	359
691	804	358
692	805	356
693	806	355
694	808	354
695	808	353
696	809	352
697	810	350
698	811	349
699	812	348
700	813	347
701	814	345
702	815	344
703	816	343
704	816	341
705	817	340
706	818	339
707	819	337
708	820	336
709	821	335
710	821	334
711	823	332
712	823	331
713	824	330
714	825	329
715	826	327
716	827	326
717	828	325
718	829	324
719	830	322
720	830	321
721	831	320
722	832	318
723	833	317
724	834	316
725	835	315
726	835	313
727	836	312
728	837	311
729	838	310
730	839	308
731	840	307
732	841	306
733	841	305
734	842	303
735	843	302
736	844	301
737	845	300
738	846	298
739	847	297
740	848	296
741	848	295
742	849	293
743	850	292
744	851	291
745	852	290
746	853	289
747	854	287
748	855	286
749	856	285
750	857	284
751	857	282
752	858	281
753	859	280
754	860	279
755	861	277
756	861	276
757	862	275
758	863	274
759	864	273
760	865	271
761	866	270
762	867	269
763	868	268
764	869	266
765	870	265
766	871	264
767	872	263
768	874	262
769	875	261
770	876	260
771	877	259
772	878	258
773	880	256
774	881	255
775	882	254
776	883	253
777	886	252
778	887	251
779	888	250
780	889	249
781	890	248
782	891	247
783	892	245
784	893	244
785	894	243
786	895	242
787	896	241
788	896	239
789	899	239
790	900	238
791	903	237
792	905	236
793	905	235
794	906	233
795	907	232
796	908	231
797	909	230
798	910	229
799	911	227
800	912	226
801	914	225
802	916	224
803	917	223
804	918	222
805	919	221
806	920	220
807	921	219
808	922	217
809	923	216
810	924	215
811	925	214
812	927	213
813	928	212
814	930	211
815	931	210
816	932	208
817	933	207
818	934	206
819	935	205
820	936	204
821	937	203
822	938	201
823	939	200
824	940	199
825	941	198
826	943	197
827	944	196
828	946	195
829	947	194
830	948	192
831	948	191
832	949	190
833	950	189
834	951	188
835	952	186
836	953	185
837	954	184
838	954	183
839	955	182
840	956	180
841	958	179
842	960	178
843	961	177
844	962	176
845	962	175
846	963	174
847	964	172
848	965	171
849	966	170
850	967	169
851	968	168
852	969	167
853	970	165
854	971	164
855	973	163
856	974	162
857	975	161
858	976	160
859	977	159
860	978	157
861	979	156
862	980	155
863	981	154
864	982	153
865	983	152
866	983	150
867	984	149
868	985	148
869	986	147
870	988	146
871	990	145
872	991	144
873	992	143
874	993	141
875	994	140
876	995	139
877	996	138
878	996	137
879	997	136
880	998	134
881	999	133
882	1001	132
883	1003	131
884	1004	130
885	1005	129
886	1006	128
887	1007	127
888	1008	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1014	120
894	1015	119
895	1017	118
896	1018	116
897	1020	115
898	1021	114
899	1022	113
900	1023	112
901	1024	111
902	1025	110
903	1025	108
904	1026	107
905	1027	106
906	1028	105
907	1029	104
908	1031	103
909	1032	102
910	1033	101
911	1035	99
912	1035	98
913	1036	97
914	1037	96
915	1038	95
916	1039	94
917	1040	92
918	1041	91
919	1042	90
920	1043	89
921	1044	88
922	1046	87
923	1048	86
924	1049	85
925	1050	83
926	1051	82
927	1052	81
928	1053	80
929	1054	79
930	1055	78
931	1056	77
932	1057	75
933	1058	74
934	1060	73
935	1062	72
936	1064	71
937	1065	70
938	1066	69
939	1067	68
940	1068	66
941	1069	65
942	1069	64
943	1070	63
944	1071	62
945	1072	61
946	1073	60
947	1074	58
